wwExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'860799000',117,  ,KG,0,4820,13455,0,746,3729,0,55,214,0,695,2976,0,0,0,0,125,243,0,354,685,0,170,359,0,274,634,0,724,1612,0,444,1036,0,922,1544,0,311,423
2,2015,'860799000',118,  ,KG,0,7047,29113,0,1261,4440,0,819,2356,0,1044,3782,0,1300,4639,0,361,2034,0,359,770,0,302,2030,0,324,2087,0,0,0,0,429,2342,0,433,2344,0,415,2289
2,2015,'860799000',123,  ,KG,0,273,672,0,273,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860799000',147,  ,KG,0,111,339,0,0,0,0,111,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860799000',203,  ,KG,0,660,4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,3173,0,0,0,0,515,1788
2,2015,'860799000',205,  ,KG,0,110897,675263,0,1421,7500,0,926,4143,0,975,6076,0,9865,55588,0,4984,19601,0,6099,30926,0,2955,23981,0,11284,61873,0,18909,135211,0,20516,120293,0,18112,118160,0,14851,91911
2,2015,'860799000',208,  ,KG,0,1724,20071,0,0,0,0,0,0,0,108,264,0,0,0,0,0,0,0,0,0,0,268,3501,0,484,10330,0,372,2025,0,124,676,0,124,691,0,244,2584
2,2015,'860799000',210,  ,KG,0,9732,110752,0,728,10802,0,650,8080,0,463,5536,0,919,11469,0,37,820,0,905,11526,0,553,8231,0,830,11019,0,641,11020,0,1156,6993,0,2180,13540,0,670,11716
2,2015,'860799000',213,  ,KG,0,141662,549970,0,3401,19589,0,7528,52835,0,4806,36368,0,5383,11556,0,13306,27985,0,3160,15740,0,1981,9979,0,12315,45940,0,28092,131318,0,27022,73212,0,7758,47356,0,26910,78092
2,2015,'860799000',215,  ,KG,0,10970,37185,0,32,620,0,297,2530,0,76,1919,0,10,223,0,115,1870,0,89,1600,0,0,0,0,18,232,0,626,2205,0,9379,23487,0,62,384,0,266,2115
2,2015,'860799000',218,  ,KG,0,3380,16509,0,0,0,0,3,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,1802,0,450,1818,0,188,2234,0,2244,9915
2,2015,'860799000',220,  ,KG,0,59915,227289,0,320,951,0,3363,14122,0,6797,28939,0,4106,12525,0,5875,24820,0,7532,28109,0,15304,53805,0,10634,38745,0,782,4731,0,297,1566,0,4842,18765,0,63,211
2,2015,'860799000',222,  ,KG,0,9253,79432,0,0,0,0,0,0,0,0,0,0,0,0,0,379,3299,0,400,3433,0,0,0,0,1622,13762,0,1152,9816,0,3100,26215,0,968,9240,0,1632,13667
2,2015,'860799000',223,  ,KG,0,1779,11921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779,11921
2,2015,'860799000',225,  ,KG,0,13910,114997,0,25,443,0,240,4822,0,4181,33992,0,1503,12986,0,1220,9810,0,1719,11233,0,638,4979,0,865,6473,0,317,2271,0,1080,9896,0,995,5047,0,1127,13045
2,2015,'860799000',227,  ,KG,0,3349,30281,0,336,3557,0,159,1444,0,396,2941,0,306,2822,0,397,3616,0,280,2452,0,209,2003,0,218,1982,0,305,2336,0,228,1971,0,210,1937,0,305,3220
2,2015,'860799000',241,  ,KG,0,304,8644,0,16,435,0,0,0,0,0,0,0,0,0,0,0,0,0,288,8209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860799000',245,  ,KG,0,4400,21515,0,0,0,0,658,2003,0,0,0,0,8,1226,0,1315,3833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419,14453
2,2015,'860799000',302,  ,KG,0,4499,19393,0,35,313,0,1578,5621,0,2711,10881,0,0,0,0,0,0,0,8,1064,0,0,0,0,0,0,0,0,0,0,150,481,0,12,624,0,5,409
2,2015,'860799000',304,  ,KG,0,71765,276416,0,3010,20942,0,7191,32259,0,7310,38537,0,12279,27956,0,6870,17567,0,6439,31554,0,1339,14867,0,3082,18137,0,970,8567,0,10870,28717,0,11076,25821,0,1329,11492
2,2015,'860799000',402,  ,KG,0,31,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,766
2,2015,'860799000',601,  ,KG,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,320
2,2015,'860800000',103,  ,KG,0,13979,90552,0,1387,3497,0,570,9005,0,0,0,0,1500,3272,0,0,0,0,0,0,0,2715,7707,0,3362,4918,0,0,0,0,2490,57578,0,1955,4575,0,0,0
2,2015,'860800000',105,  ,KG,0,68670,70325,0,5900,5712,0,9636,9093,0,1702,1590,0,1609,1526,0,1987,1868,0,5371,5130,0,4083,4628,0,7672,8163,0,1852,2082,0,11250,11832,0,10550,11339,0,7058,7362
2,2015,'860800000',106,  ,KG,0,659,849,0,0,0,0,241,232,0,0,0,0,0,0,0,0,0,0,0,0,0,163,206,0,0,0,0,0,0,0,0,0,0,255,411,0,0,0
2,2015,'860800000',110,  ,KG,0,471,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,579,0,0,0,0,98,281,0,221,823,0,0,0
2,2015,'860800000',112,  ,KG,0,10779,40174,0,0,0,0,5698,11822,0,0,0,0,0,0,0,38,2128,0,180,13582,0,4863,12642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860800000',123,  ,KG,0,184,11576,0,0,0,0,4,204,0,0,0,0,0,0,0,180,11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860800000',127,  ,KG,0,24011,72860,0,603,1954,0,3684,11785,0,2092,6730,0,2106,6994,0,1926,5189,0,1555,4946,0,1429,4018,0,2868,8190,0,1991,5797,0,2106,6450,0,1668,4782,0,1983,6025
2,2015,'860800000',143,  ,KG,0,1242,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,1653,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860800000',203,  ,KG,0,6,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,733,0,0,0,0,0,0,0,0,0
2,2015,'860800000',204,  ,KG,0,7421,7662,0,0,0,0,3135,3120,0,0,0,0,0,0,0,0,0,0,1984,1920,0,0,0,0,992,960,0,0,0,0,0,0,0,992,960,0,318,702
2,2015,'860800000',205,  ,KG,0,329,9640,0,224,5391,0,0,0,0,5,425,0,0,0,0,10,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3604
2,2015,'860800000',209,  ,KG,0,9472,18242,0,0,0,0,0,0,0,5033,9275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4439,8967,0,0,0
2,2015,'860800000',210,  ,KG,0,6868,97394,0,130,545,0,92,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5174,86830,0,1472,9553,0,0,0,0,0,0
